node_aa,grid_id,chi_hat,l_r_hat,l_f_hat,l_R,l_F,l_R_new,l_F_new,lr_pct,lf_pct,dist_center_km,delta_residents,delta_workers
65,sq_11_50,0.9998669097242988,0.9998812510110884,0.9999428922145364,686.0,978.0,685.9185381936067,977.9441485858166,-0.011874898891162111,-0.005710778546363926,59.34769350960823,-0.08146180639334943,-0.0558514141833939
66,sq_11_51,0.9998669097242988,0.9998808560235516,0.9999430137131234,679.0,586.0,678.9191012399915,585.9666060358903,-0.011914397644841035,-0.005698628687655916,60.52123478253864,-0.08089876000849472,-0.033393964109677654
67,sq_11_52,0.9998669097242988,0.9998805025306572,0.99994320682708,571.0,300.0,570.9317669450053,299.982962048124,-0.01194974693428108,-0.005679317291995556,61.75841086832581,-0.06823305499472099,-0.017037951875977342
68,sq_11_53,0.9998669097242988,0.9998790333761862,0.9999437821733068,780.0,249.0,779.9056460334252,248.9860017611534,-0.012096662381377854,-0.005621782669318343,62.995087244608065,-0.09435396657477213,-0.013998238846596678
69,sq_11_54,0.9998669097242988,0.999877048913541,0.9999444093944344,294.0,79.0,293.96385238058105,78.99560834216032,-0.012295108645898889,-0.005559060556559192,64.28584263427562,-0.036147619418954946,-0.0043916578396761
70,sq_12_20,0.9998669097242988,0.9998818701774848,0.9999427179868056,10474.0,11369.0,10472.762708238975,11368.348760791992,-0.011812982251524495,-0.0057282013194437376,63.27375927620927,-1.2372917610246077,-0.6512392080076097
71,sq_12_21,0.9998669097242988,0.9998817948149988,0.9999427475707888,8637.0,6005.0,8635.979061817145,6004.656199162587,-0.01182051850011634,-0.005725242921117424,61.85427554622592,-1.0209381828553887,-0.34380083741325507
72,sq_12_22,0.9998669097242988,0.9998810186805878,0.9999445830764108,865.0,3393.0,864.8970811587084,3392.811970378262,-0.011898131941223689,-0.0055416923589235445,60.48920656251707,-0.10291884129162554,-0.1880296217382238
73,sq_12_23,0.9998669097242988,0.9992003930115484,1.0004480790288055,7242.0,4068.0,7236.209246189634,4069.8227854891807,-0.07996069884516066,0.044807902880550365,59.18231639837706,-5.790753810366368,1.82278548918066
74,sq_12_25,0.9998669097242988,0.9998813309729472,0.9999429079414776,1651.0,676.0,1650.8040774363358,675.9614057684388,-0.011866902705282012,-0.005709205852244548,56.758965397878924,-0.1959225636642259,-0.03859423156120556
75,sq_12_26,0.9998669097242988,0.9998817276181028,0.9999427651689834,4292.0,3399.0,4291.492374936897,3398.8054588093746,-0.01182723818972109,-0.005723483101660598,55.65079487779325,-0.5076250631027506,-0.19454119062538666
76,sq_12_27,0.9998669097242988,0.99988177815491,0.9999427468050232,3169.0,3642.0,3168.62535497291,3641.7914838638944,-0.011822184509002742,-0.005725319497684733,54.617313641537706,-0.3746450270900823,-0.2085161361055725
77,sq_12_28,0.9998669097242988,0.9998815048001366,0.9999428421762242,1908.0,1162.0,1907.7739111586607,1161.9335826087724,-0.011849519986339985,-0.00571578237757997,53.66283585925757,-0.22608884133933316,-0.06641739122756007
78,sq_12_29,0.9998669097242988,0.9998813310702966,0.9999429104060517,2362.0,1847.0,2361.7197039880407,1846.8945555199773,-0.01186689297033583,-0.005708959394834512,52.791645617636675,-0.2802960119593081,-0.10544448002269746
79,sq_12_30,0.9998669097242988,0.9998781598917156,0.9999439299180584,1200.0,258.0,1199.8537918700588,257.98553391885906,-0.012184010828442116,-0.005607008194163932,52.00792732922434,-0.1462081299412148,-0.014466081140938059
80,sq_12_31,0.9998669097242988,0.9999545339541018,0.999905423451936,3397.0,744.0,3396.8455518420838,743.9296350482404,-0.004546604589816816,-0.009457654806399596,51.315687691427335,-0.15444815791624933,-0.07036495175964319
81,sq_12_32,0.9998669097242988,0.9998736888077984,0.9999502255178117,4451.0,1938.0,4450.437788883511,1937.903537053519,-0.012631119220163356,-0.0049774482188347235,50.71867134214549,-0.5622111164893795,-0.09646294648109688
82,sq_12_33,0.9998669097242988,0.9998816594976178,0.9999427978754768,5464.0,5914.0,5463.3533874949835,5913.66170663557,-0.011834050238224147,-0.00572021245232035,50.22027328986237,-0.6466125050164919,-0.33829336442977365
83,sq_12_34,0.9998669097242988,0.9998816514641812,0.9999427758410092,4732.0,3314.0,4731.439974728505,3313.8103591371046,-0.01183485358188241,-0.005722415899078737,49.82345204283892,-0.560025271494851,-0.18964086289543047
84,sq_12_35,0.9998669097242988,0.9998792642339605,0.999943722800981,3319.0,809.0,3318.5992779925145,808.9544717459936,-0.012073576603954805,-0.0056277199019016955,49.53064798918559,-0.40072200748545583,-0.04552825400639904
85,sq_12_36,0.9998669097242988,0.9998796480038936,0.9999443124185962,7403.0,4543.0,7402.109034172824,4542.747011317682,-0.012035199610638259,-0.005568758140384045,49.3437118512403,-0.8909658271759326,-0.2529886823176639
86,sq_12_39,0.9998669097242988,1.003170927395553,0.9979683745645014,1628.0,1251.0,1633.16226979996,1248.4584365801911,0.3170927395552914,-0.20316254354986185,49.42671287594238,5.162269799960086,-2.541563419808881
87,sq_12_40,0.9998669097242988,0.9999048263191916,0.9999297372998284,1482.0,448.0,1481.858952605042,447.9685223103231,-0.009517368080835809,-0.00702627001716305,49.66838242438496,-0.14104739495792273,-0.03147768967687625
