grid_o,grid_d,i_raw,j_raw,tau_ij,tau_ji,tau_ff_ij,tau_ff_ji,lanes_ij,lanes_ji,lane_source_ij,lane_source_ji,xi_ij,xi_ji,len_ij,len_ji,asym_ratio,slow_dir,lanes_slow,lanes_fast,lane_source_slow,lane_source_fast,tau_slow_obs,tau_fast_obs,tau_slow_new,tau_fast_new,tbar_slow,tbar_fast,rank
sq_28_33,sq_28_34,-1,-1,33.8821661443087,186.4998997949176,25.289552110577898,74.4614886735164,3.196220004962101,3.1962200049620986,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,5.820283023637486,20.97688244790192,12533.19986943201,46250.80223987185,5.504367666476502,ji,3.1962200049620986,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,186.4998997949176,33.8821661443087,163.30010710257693,40.69078319380227,0.8756042618904779,1.2009498749429053,30
sq_23_45,sq_23_46,-1,-1,8.159077267235112,44.60863038031133,6.935151039169416,7.680676243668123,3.1962200049621003,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,4.459419298114158,117.55747568600275,3880.3138357787543,3876.490576112842,5.467362168446282,ji,3.1962200049620995,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,44.60863038031133,8.159077267235112,39.05950687809765,9.798642823735511,0.8756042618904778,1.2009498749429055,31
sq_21_31,sq_22_31,-1,-1,27.914584160376208,5.1850115858795505,7.936646314868781,3.3476117098640357,3.1962200049621,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,42.061711788648374,7.834494030022971,8898.342090930008,3456.0998366438316,5.383707191011217,ij,3.1962200049621,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,27.914584160376208,5.1850115858795505,24.442128859725837,6.226939015639561,0.875604261890478,1.2009498749429053,32
sq_25_29,sq_25_30,-1,-1,7.5976112917298355,40.73505070249326,7.036633436813678,36.81297933643494,3.196220004962099,3.196220004962099,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.7402381276010805,3.933087240286746,3290.9155629201123,20874.70853143084,5.361560250763848,ji,3.196220004962099,3.196220004962099,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,40.73505070249326,7.5976112917298355,36.81297933643494,9.124350330667752,0.9037175283098823,1.2009498749429055,33
sq_78_44,sq_78_45,-1,-1,34.48226231539049,6.446806523906246,25.167433920794856,6.172789949019078,3.1962200049621003,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,6.093629414784792,3.493740437381348,23969.10828422096,6145.371949630251,5.3487354068285295,ij,3.1962200049621003,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,34.48226231539049,6.446806523906246,30.19281584298134,7.742291488666312,0.875604261890478,1.2009498749429053,34
sq_42_22,sq_43_22,-1,-1,5.5151811396773525,29.240412238812183,5.130569076030641,27.39921129772136,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.706543727221855,3.6518812251727675,4467.982735812615,24361.601631881,5.301804509819381,ji,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,29.240412238812183,5.5151811396773525,27.39921129772136,6.623456099982988,0.9370323193102281,1.2009498749429057,35
sq_30_36,sq_30_37,-1,-1,21.48942983747269,113.87392104886436,12.099855919556353,44.959567415055886,3.1962200049621003,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,10.370359812784931,21.462991509461276,5548.4080119314,28088.367931434503,5.299066653238704,ji,3.1962200049621,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,113.87392104886436,21.48942983747269,99.70849058856544,25.807728075907164,0.8756042618904779,1.2009498749429053,36
sq_24_36,sq_25_36,-1,-1,7.211852032461664,37.92590324410665,6.4758683211267005,27.059389406024053,3.1962200049621,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.985046406488616,6.383858676500177,4108.451312088093,17071.082400276868,5.2588299196095925,ji,3.196220004962101,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,37.92590324410665,7.211852032461664,33.20808251658569,8.661072796491574,0.8756042618904781,1.2009498749429055,37
sq_10_32,sq_10_33,-1,-1,8.331871476791022,43.17102371490867,6.875822953846882,32.4656528183746,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,4.737780512080753,5.73139104342066,4320.070715510727,23439.653710358783,5.181431786983802,ji,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,43.17102371490867,8.331871476791022,37.80073235494893,10.00616000809254,0.875604261890478,1.2009498749429055,38
sq_15_42,sq_16_42,-1,-1,9.399123973430324,47.6868885335152,8.314057121412791,43.49134606138684,3.1962200049621,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,4.109655941691423,3.8600769562325903,3939.5117480076674,23015.751878428327,5.073546073901959,ji,3.1962200049621003,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,47.6868885335152,9.399123973430324,43.49134606138684,11.28787676046401,0.9120189510963866,1.2009498749429053,39
