edge_i,edge_j,chi_hat_asym,mean_lr_hat_asym,std_lr_hat_asym,mean_lf_hat_asym,std_lf_hat_asym,chi_hat_sym,mean_lr_hat_sym,std_lr_hat_sym,mean_lf_hat_sym,std_lf_hat_sym,d_chi_hat,d_mean_lr_hat,d_mean_lf_hat
47.0,99.0,0.9999999963457912,0.9999999895233845,1.4188981434151027e-06,1.0000000483957767,2.8040419970979928e-06,0.9999999962940408,0.9999999893543707,1.4417058043781811e-06,1.0000000491496674,2.8484063300786224e-06,5.175038175764257e-11,1.6901380295308854e-10,-7.538907276227746e-10
48.0,47.0,0.99999999,0.9999999947594903,5.303724292970159e-07,1.0000000077495577,1.3004896214977524e-06,0.99999999,0.9999999946758519,5.389959308099938e-07,1.0000000078719835,1.3216326475897881e-06,0.0,8.363842951553124e-11,-1.2242584723765049e-10
48.0,100.0,0.999999994965708,0.9999999731764438,1.6326544137440585e-06,1.0000000679177699,3.616538146148586e-06,0.9999999950135924,0.9999999736795873,1.6031642924552252e-06,1.0000000665141044,3.5508928512665695e-06,-4.788436314129285e-11,-5.031434158198067e-10,1.4036654061300169e-09
51.0,103.0,0.9999999727649782,0.9999995228552573,2.127009948190608e-05,1.0000009053553716,4.471742976494068e-05,0.9999999831769402,0.9999995467384014,2.0197584400804336e-05,1.000000862325838,4.247872834390288e-05,-1.041196195927796e-08,-2.3883144129044354e-08,4.302953349188954e-08
52.0,104.0,0.99999999,0.999999988421998,2.377463214836368e-06,0.9999999819377333,8.430480901249456e-07,0.99999999,0.9999999898389531,2.082709469342514e-06,0.9999999841814255,7.384910827356196e-07,0.0,-1.4169551088016874e-09,-2.243692232006822e-09
67.0,15.0,0.99999999,1.0000001193958488,7.926744825666462e-06,0.9999999642804971,3.0161961194119083e-06,0.99999999,1.0000001174742141,7.801037036781454e-06,0.9999999648516229,2.968297143513458e-06,0.0,1.9216346291983655e-09,-5.711258133089814e-10
67.0,68.0,0.99999999,1.0000000995275788,7.745978789523454e-06,1.0000000006712695,3.8768385439258464e-06,0.99999999,1.0000001011274566,7.87294114249716e-06,1.000000000689965,3.940704013822367e-06,0.0,-1.59987778580728e-09,-1.869548960087286e-11
68.0,16.0,0.99999999,1.000000104235257,7.67564957455722e-06,0.9999999548675743,2.8912463315337036e-06,0.99999999,1.0000001113642494,8.201219648511883e-06,0.9999999517640399,3.089341544970078e-06,0.0,-7.128992285387881e-09,3.1035344294494394e-09
68.0,67.0,0.99999999,1.000000101510336,9.50647477282196e-06,1.0000000080297002,5.121887302560514e-06,0.99999999,1.0000000998722613,9.354318988285797e-06,1.000000007908033,5.04015266832317e-06,0.0,1.6380745648802986e-09,1.2166734286722658e-10
68.0,70.0,0.99999999,1.00000012759237,8.886720317966211e-06,0.9999999319394673,3.2198345747559667e-06,0.99999999,1.000000123465818,8.599802207810564e-06,0.9999999341211198,3.1159192281785473e-06,0.0,4.1265519890032465e-09,-2.181652414279256e-09
70.0,18.0,0.999999997073503,0.9999999949613502,1.603433505001456e-07,0.999999999552208,3.122031673472243e-07,0.9999999972568052,0.9999999953488289,1.4801572144059196e-07,0.9999999995865714,2.88204651949503e-07,-1.8330226225771185e-10,-3.8747871577982096e-10,-3.436340101359292e-11
70.0,68.0,0.9999999976554286,0.9999999779797492,9.61570876650966e-07,1.0000000424190176,2.228946997317089e-06,0.999999997592556,0.9999999772194474,9.946541162832012e-07,1.0000000438781942,2.305628603265319e-06,6.287259601833739e-11,7.603017104784726e-10,-1.4591765573612747e-09
70.0,124.0,0.999999996844678,0.9999999942116573,1.8354363792037856e-07,0.9999999999493149,3.429288636332755e-07,0.999999996899516,0.9999999943426885,1.793912475197414e-07,0.9999999999504109,3.351746636586947e-07,-5.4838023011427595e-11,-1.3103118590152008e-10,-1.0960121699099545e-12
71.0,19.0,0.999999998602378,0.9999999946173751,1.769305030073454e-07,1.0000000034109298,2.1962343823804223e-07,0.999999998600668,0.9999999946174896,1.7692774492508643e-07,1.000000003410911,2.1962323342440054e-07,1.7099655025276661e-12,-1.1446399383885364e-13,1.865174681370263e-14
71.0,72.0,0.99999999,0.999999963872249,1.3893310381053056e-06,0.9999999915622142,3.0501392756273165e-06,0.99999999,0.9999999670089302,1.269382399403293e-06,0.9999999922580597,2.7872132089870723e-06,0.0,-3.136681248072648e-09,-6.958454923378099e-10
71.0,125.0,0.9999999974199998,0.999999992173444,2.6570538151625667e-07,0.9999999914652679,2.5308547915337973e-07,0.999999997583996,0.9999999912824303,2.9596181105610965e-07,0.9999999904925858,2.8192292380675795e-07,-1.639962610155976e-10,8.91013707260413e-10,9.726820460187469e-10
72.0,20.0,0.999999997291583,0.9999999871878008,1.7549954551274089e-06,1.0000000613325808,3.5571221008660856e-06,0.9999999971456718,0.9999999863026287,1.8767332759128348e-06,1.0000000655597305,3.8022628389360172e-06,1.4591117203366366e-10,8.851721577940452e-10,-4.227149741353742e-09
72.0,71.0,0.9999999981057875,1.0000000070341573,3.8735699675736716e-07,0.9999999975308382,1.8206847560696665e-07,0.9999999979672264,1.0000000077738962,4.280678628382902e-07,0.9999999972705955,2.0123096749622522e-07,1.3856116254373774e-10,-7.397389367724827e-10,2.602427162656795e-10
72.0,73.0,0.9999999985289448,1.0000000050408766,2.861311588699038e-07,0.9999999993430515,1.4957984438270996e-07,0.9999999985314204,1.0000000050309714,2.8584261959148776e-07,0.9999999993476424,1.4901058493833376e-07,-2.475575300309174e-12,9.905187781100722e-12,-4.590883229127485e-12
73.0,21.0,0.999999930985682,0.999999544454621,1.6484498538945572e-05,1.000000259385421,2.3798064111103004e-05,0.9999999815319904,0.9999997582085356,8.725907936973431e-06,1.0000001386286659,1.281597536031344e-05,-5.054630847212138e-08,-2.1375391456857074e-07,1.207567550398636e-07
73.0,72.0,0.99999999,0.9999999769791745,8.969968096995863e-07,0.9999999939021671,1.855134280783395e-06,0.99999999,0.999999976869984,8.998382652257116e-07,0.9999999938831964,1.858111239317717e-06,0.0,1.0919054549418661e-10,1.8970713888677437e-11
73.0,74.0,0.9999999980071552,0.9999999615737636,1.4098960049653325e-06,1.0000000371316038,2.3550788593297264e-06,1.0000000013723684,0.9999999374767211,2.288290012616331e-06,1.0000000589671953,3.715378766817491e-06,-3.3652132191974715e-09,2.4097042472526198e-08,-2.183559155710668e-08
73.0,127.0,0.9999999972479,0.999999967909386,1.069053914663082e-06,1.0000000470393795,2.1668990644392132e-06,0.9999999975177128,0.9999999662450232,1.1216670087391332e-06,1.0000000476016402,2.2520040690646392e-06,-2.6981283873794837e-10,1.6643627587242804e-09,-5.622606824573495e-10
74.0,22.0,0.99999999,1.0000000172653407,2.8732291213102054e-06,1.0000000048063187,1.5569488875066564e-06,0.99999999,1.0000000184517268,3.2134709284350232e-06,1.000000004923558,1.753900862464993e-06,0.0,-1.1863861004712817e-09,-1.172393293558116e-10
